iter	MultiClass
0	1.03890849
1	0.9887338825
2	0.94975648
3	0.9168857263
4	0.8883931356
5	0.8647392916
6	0.8433181916
7	0.8236560681
8	0.8067111954
9	0.7916928168
10	0.7782396335
11	0.7663562926
12	0.7547817704
13	0.7446014128
14	0.7357441294
15	0.7274973491
16	0.7194590768
17	0.711971943
18	0.7056169849
19	0.698338015
20	0.6918398751
21	0.6865974927
22	0.6817403879
23	0.6771399345
24	0.6719587025
25	0.6678666795
26	0.6638430885
27	0.659498355
28	0.6564326748
29	0.6524255889
30	0.6488771964
31	0.6445211715
32	0.6407226052
33	0.6371793125
34	0.6337297888
35	0.6301385588
36	0.6266058686
37	0.6232133925
38	0.6204840443
39	0.6178614638
40	0.6147219183
41	0.611836148
42	0.6098220405
43	0.6068893457
44	0.6033102299
45	0.6013985978
46	0.5986943972
47	0.5966020822
48	0.5940832678
49	0.5920114504
50	0.5899433521
51	0.5881584684
52	0.5860555926
53	0.5836195099
54	0.5817518682
55	0.579528137
56	0.5772494957
57	0.5751258511
58	0.5729971632
59	0.5710434084
60	0.5692943658
61	0.567832288
62	0.5659334048
63	0.5641913617
64	0.5623189767
65	0.5611404749
66	0.559695974
67	0.5577197223
68	0.5560312634
69	0.5541429362
70	0.5520586934
71	0.5499184747
72	0.5483761498
73	0.546825643
74	0.5453649499
75	0.5436983347
76	0.5423949549
77	0.5407820902
78	0.5394979879
79	0.5377666106
80	0.5366460579
81	0.5356376897
82	0.5344713568
83	0.5328638743
84	0.5310699152
85	0.5298894777
86	0.5287146538
87	0.5276622814
88	0.5265132518
89	0.5253299779
90	0.5238818859
91	0.5225381278
92	0.5214035785
93	0.5199587005
94	0.5189546833
95	0.5177438437
96	0.5162393215
97	0.5151917945
98	0.5137291089
99	0.5122625276
100	0.5110536519
101	0.5097673461
102	0.5089419625
103	0.5071837831
104	0.5062063264
105	0.5052566053
106	0.5038238041
107	0.5027825761
108	0.5014354169
109	0.5000002605
110	0.4988398502
111	0.4978433885
112	0.4969598274
113	0.496120682
114	0.4949531101
115	0.4936254621
116	0.4922924765
117	0.4912050886
118	0.4902891737
119	0.489069089
120	0.4880203402
121	0.4870841565
122	0.4861511469
123	0.4849047314
124	0.4840433547
125	0.4832907747
126	0.4822809173
127	0.4816527737
128	0.480597034
129	0.4792929636
130	0.4784535787
131	0.4774815033
132	0.476692888
133	0.4756889582
134	0.4747544731
135	0.4740449716
136	0.4732447886
137	0.4717827278
138	0.47098954
139	0.470138926
140	0.4691037078
141	0.4684099067
142	0.4679042172
143	0.4671902036
144	0.4663572735
145	0.4655351639
146	0.4646319764
147	0.4638799899
148	0.4630985993
149	0.4623486571
150	0.461711855
151	0.4608698634
152	0.4603432733
153	0.4594331664
154	0.4581405391
155	0.4571929736
156	0.4566638807
157	0.4560257352
158	0.455421498
159	0.4546093033
160	0.4538465647
161	0.4532109776
162	0.452675709
