iter	Passed	Remaining
0	46	138017
1	100	150672
2	123	123233
3	143	107270
4	179	107221
5	197	98555
6	215	92345
7	234	87804
8	253	84320
9	272	81584
10	289	78633
11	310	77191
12	328	75589
13	348	74296
14	366	72956
15	385	71921
16	404	70996
17	422	70031
18	444	69760
19	462	68931
20	480	68102
21	496	67193
22	513	66522
23	532	65999
24	551	65621
25	569	65091
26	584	64319
27	598	63567
28	613	62810
29	628	62204
30	644	61680
31	659	61188
32	676	60803
33	695	60654
34	709	60121
35	726	59838
36	744	59615
37	763	59501
38	777	59023
39	792	58680
40	808	58378
41	831	58554
42	859	59098
43	880	59138
44	895	58832
45	914	58725
46	930	58476
47	945	58159
48	961	57890
49	975	57570
50	993	57439
51	1007	57103
52	1026	57086
53	1044	57000
54	1067	57137
55	1089	57273
56	1105	57098
57	1123	56973
58	1137	56711
59	1167	57220
60	1182	56961
61	1198	56778
62	1212	56526
63	1229	56397
64	1246	56265
65	1261	56080
66	1284	56227
67	1299	56024
68	1317	55964
69	1333	55831
70	1349	55690
71	1367	55627
72	1383	55463
73	1403	55475
74	1417	55280
75	1430	55055
76	1447	54933
77	1464	54849
78	1478	54668
79	1494	54537
80	1511	54478
81	1529	54435
82	1551	54512
83	1573	54631
84	1591	54564
85	1609	54551
86	1630	54588
87	1648	54561
88	1666	54517
89	1692	54720
90	1712	54756
91	1738	54967
92	1762	55090
93	1782	55103
94	1803	55157
95	1823	55173
96	1842	55141
97	1860	55085
98	1876	55001
99	1922	55749
100	1938	55641
101	1958	55653
102	1974	55522
103	1989	55405
104	2005	55297
105	2022	55205
106	2038	55116
107	2054	55012
108	2069	54901
109	2087	54847
110	2103	54748
111	2122	54735
112	2141	54712
113	2157	54620
114	2174	54541
115	2191	54493
116	2212	54505
117	2235	54598
118	2260	54723
119	2278	54694
120	2302	54775
121	2317	54680
122	2333	54573
123	2348	54466
124	2367	54455
125	2382	54341
126	2398	54254
127	2413	54162
128	2431	54111
129	2447	54034
130	2462	53930
131	2477	53827
132	2492	53724
133	2506	53616
134	2522	53525
135	2539	53484
136	2553	53368
137	2568	53269
138	2583	53173
139	2599	53103
140	2615	53026
141	2630	52938
142	2645	52850
143	2661	52795
144	2680	52774
145	2695	52689
146	2711	52632
147	2727	52551
148	2742	52475
149	2757	52387
150	2773	52334
151	2788	52244
152	2805	52199
153	2821	52137
154	2836	52055
155	2854	52037
156	2868	51948
157	2883	51862
158	2897	51776
159	2911	51674
160	2928	51632
161	2943	51574
162	2959	51504
163	2973	51421
164	2988	51355
165	3005	51312
166	3022	51267
167	3041	51274
168	3062	51304
169	3083	51330
170	3106	51394
171	3125	51390
172	3146	51414
173	3165	51408
174	3184	51403
175	3202	51391
176	3219	51342
177	3236	51317
178	3252	51264
179	3269	51225
180	3285	51176
181	3305	51175
182	3321	51135
183	3344	51187
184	3360	51129
185	3375	51065
186	3391	51022
187	3409	50995
188	3425	50941
189	3442	50907
190	3457	50844
191	3473	50795
192	3487	50718
193	3514	50833
194	3530	50791
195	3549	50783
196	3572	50832
197	3590	50816
198	3607	50783
199	3623	50730
200	3639	50679
201	3654	50617
202	3669	50559
203	3685	50508
204	3715	50657
205	3731	50615
206	3747	50558
207	3762	50501
208	3777	50447
209	3792	50384
210	3809	50351
211	3826	50322
212	3844	50297
213	3862	50285
214	3882	50287
215	3902	50293
216	3919	50271
217	3936	50235
218	3952	50192
219	3974	50226
220	3994	50227
221	4022	50332
222	4046	50395
223	4067	50413
224	4086	50404
225	4104	50374
226	4124	50382
227	4140	50337
228	4157	50312
229	4177	50313
230	4192	50251
231	4207	50198
232	4224	50172
233	4241	50131
234	4256	50084
235	4273	50045
236	4291	50032
237	4310	50028
238	4327	49993
239	4342	49938
240	4357	49886
241	4374	49859
242	4389	49800
243	4407	49783
244	4423	49742
245	4440	49710
246	4455	49664
247	4473	49640
248	4492	49637
249	4507	49582
250	4522	49528
251	4537	49480
252	4553	49435
253	4567	49379
254	4581	49316
255	4596	49268
256	4610	49209
257	4624	49149
258	4638	49090
259	4652	49035
260	4666	48975
261	4682	48929
262	4696	48874
263	4712	48838
264	4726	48782
265	4739	48717
266	4753	48658
267	4767	48603
268	4782	48550
269	4796	48499
270	4812	48466
271	4826	48411
272	4840	48356
273	4855	48309
274	4869	48251
275	4885	48214
276	4899	48162
277	4913	48110
278	4928	48069
279	4943	48021
280	4958	47976
281	4973	47939
282	4987	47884
283	5000	47823
284	5016	47789
285	5030	47736
286	5044	47688
287	5058	47632
288	5071	47577
289	5085	47521
290	5098	47459
291	5113	47419
292	5127	47374
293	5142	47330
294	5156	47284
295	5169	47228
296	5183	47171
297	5199	47143
298	5214	47103
